ptid,E01,E03,10x_pfreq,count
525,1.4667945222558566e-05,1.7454101168333896e-05,,32
525,1.2834452069738746e-05,1.7454101168333896e-05,,31
525,1.8334931528198207e-05,6.545287938125212e-06,,31
525,1.8334931528198207e-05,2.181762646041737e-06,,30
525,3.6669863056396416e-06,1.527233852229216e-05,,29
525,1.1000958916918926e-05,1.7454101168333896e-05,,29
525,2.0168424681018027e-05,8.727050584166948e-06,,29
525,5.500479458459463e-06,1.7454101168333896e-05,,28
525,2.0168424681018027e-05,4.363525292083474e-06,,28
525,2.0168424681018027e-05,6.545287938125212e-06,,28
525,2.200191783383785e-05,8.727050584166948e-06,,28
525,1.8334931528198207e-05,1.7454101168333896e-05,,27
525,0.0,2.3999389106459108e-05,,26
525,7.333972611279283e-06,1.7454101168333896e-05,,26
525,1.8334931528198207e-05,0.0,,26
525,2.0168424681018027e-05,1.527233852229216e-05,,26
525,0.0,1.9635863814375638e-05,,25
525,0.0,2.8362914398542585e-05,,24
525,1.8334931528198208e-06,1.527233852229216e-05,,24
525,3.6669863056396416e-06,1.7454101168333896e-05,,24
525,1.1000958916918926e-05,1.9635863814375638e-05,,24
525,1.6501438375378387e-05,1.9635863814375638e-05,,24
525,1.8334931528198207e-05,1.9635863814375638e-05,,24
525,2.200191783383785e-05,4.363525292083474e-06,,24
525,2.0168424681018027e-05,1.7454101168333896e-05,,22
525,2.200191783383785e-05,1.3090575876250423e-05,,22
525,2.383541098665767e-05,1.7454101168333896e-05,,22
525,2.200191783383785e-05,6.545287938125212e-06,,21
525,2.200191783383785e-05,1.527233852229216e-05,,21
525,2.383541098665767e-05,8.727050584166948e-06,,21
525,1.8334931528198207e-05,1.3090575876250423e-05,,20
525,2.200191783383785e-05,1.0908813230208685e-05,,20
525,2.383541098665767e-05,1.527233852229216e-05,,20
525,1.8334931528198208e-06,1.7454101168333896e-05,,19
525,2.200191783383785e-05,1.7454101168333896e-05,,19
525,0.0,2.181762646041737e-05,,18
525,2.0168424681018027e-05,2.181762646041737e-06,,18
525,2.383541098665767e-05,1.0908813230208685e-05,,18
525,3.6669863056396416e-06,1.9635863814375638e-05,,17
525,5.500479458459463e-06,1.9635863814375638e-05,,17
525,2.0168424681018027e-05,1.9635863814375638e-05,,17
525,0.0,2.6181151752500847e-05,,16
525,9.167465764099103e-06,1.9635863814375638e-05,,16
525,1.1000958916918926e-05,2.181762646041737e-05,,16
525,1.2834452069738746e-05,1.9635863814375638e-05,,16
525,1.4667945222558566e-05,2.3999389106459108e-05,,16
525,2.200191783383785e-05,2.181762646041737e-06,,16
525,2.383541098665767e-05,1.3090575876250423e-05,,16
525,2.566890413947749e-05,1.3090575876250423e-05,,16
525,1.8334931528198208e-06,1.9635863814375638e-05,,15
525,1.2834452069738746e-05,2.181762646041737e-05,,15
525,1.8334931528198207e-05,2.181762646041737e-05,,15
525,2.7502397292297312e-05,4.363525292083474e-06,,15
525,9.167465764099103e-06,2.181762646041737e-05,,14
525,2.0168424681018027e-05,0.0,,14
525,2.0168424681018027e-05,2.181762646041737e-05,,14
525,2.200191783383785e-05,1.9635863814375638e-05,,14
525,2.383541098665767e-05,6.545287938125212e-06,,14
525,2.383541098665767e-05,1.9635863814375638e-05,,14
525,2.566890413947749e-05,8.727050584166948e-06,,14
525,2.9335890445117133e-05,2.181762646041737e-05,,14
525,5.500479458459463e-06,2.181762646041737e-05,,13
525,1.4667945222558566e-05,1.9635863814375638e-05,,13
525,1.4667945222558566e-05,2.6181151752500847e-05,,13
525,2.200191783383785e-05,2.181762646041737e-05,,13
525,2.383541098665767e-05,2.181762646041737e-05,,13
525,2.566890413947749e-05,1.7454101168333896e-05,,13
525,2.7502397292297312e-05,1.3090575876250423e-05,,13
525,7.333972611279283e-06,1.9635863814375638e-05,,12
525,1.1000958916918926e-05,2.3999389106459108e-05,,12
525,1.4667945222558566e-05,2.181762646041737e-05,,12
525,2.0168424681018027e-05,2.6181151752500847e-05,,12
525,2.200191783383785e-05,2.6181151752500847e-05,,12
525,2.383541098665767e-05,2.3999389106459108e-05,,12
525,2.566890413947749e-05,6.545287938125212e-06,,12
525,2.566890413947749e-05,1.0908813230208685e-05,,12
525,2.566890413947749e-05,1.527233852229216e-05,,12
525,2.7502397292297312e-05,1.527233852229216e-05,,12
525,2.9335890445117133e-05,1.3090575876250423e-05,,12
525,7.333972611279283e-06,2.181762646041737e-05,,11
525,1.6501438375378387e-05,2.181762646041737e-05,,11
525,1.8334931528198207e-05,2.3999389106459108e-05,,11
525,2.383541098665767e-05,2.181762646041737e-06,,11
525,2.7502397292297312e-05,8.727050584166948e-06,,11
525,2.7502397292297312e-05,1.7454101168333896e-05,,11
525,2.9335890445117133e-05,1.0908813230208685e-05,,11
525,0.0,3.927172762875127e-05,,10
525,2.200191783383785e-05,0.0,,10
525,2.566890413947749e-05,1.9635863814375638e-05,,10
525,2.566890413947749e-05,2.8362914398542585e-05,,10
525,2.7502397292297312e-05,1.0908813230208685e-05,,10
525,3.116938359793696e-05,1.7454101168333896e-05,,10
525,0.0,3.708996498270953e-05,,9
525,7.333972611279283e-06,2.3999389106459108e-05,,9
525,1.6501438375378387e-05,2.3999389106459108e-05,,9
525,2.0168424681018027e-05,2.8362914398542585e-05,,9
525,2.200191783383785e-05,2.8362914398542585e-05,,9
525,2.566890413947749e-05,4.363525292083474e-06,,9
525,2.566890413947749e-05,2.181762646041737e-05,,9
525,2.566890413947749e-05,2.3999389106459108e-05,,9
525,2.9335890445117133e-05,1.527233852229216e-05,,9
525,2.9335890445117133e-05,2.6181151752500847e-05,,9
525,3.300287675075677e-05,2.6181151752500847e-05,,9
525,0.0,3.054467704458432e-05,,8
525,1.1000958916918926e-05,2.6181151752500847e-05,,8
525,1.2834452069738746e-05,2.3999389106459108e-05,,8
525,1.4667945222558566e-05,2.8362914398542585e-05,,8
525,1.6501438375378387e-05,2.8362914398542585e-05,,8
525,1.8334931528198207e-05,2.6181151752500847e-05,,8
525,2.7502397292297312e-05,1.9635863814375638e-05,,8
525,2.9335890445117133e-05,6.545287938125212e-06,,8
525,3.116938359793696e-05,1.0908813230208685e-05,,8
525,3.116938359793696e-05,2.8362914398542585e-05,,8
525,3.116938359793696e-05,3.054467704458432e-05,,8
525,0.0,3.2726439690626056e-05,,7
525,0.0,4.145349027479301e-05,,7
525,5.500479458459463e-06,2.3999389106459108e-05,,7
525,1.6501438375378387e-05,3.490820233666779e-05,,7
525,2.200191783383785e-05,2.3999389106459108e-05,,7
525,2.383541098665767e-05,4.363525292083474e-06,,7
525,2.383541098665767e-05,2.6181151752500847e-05,,7
525,2.566890413947749e-05,0.0,,7
525,2.566890413947749e-05,2.6181151752500847e-05,,7
525,2.7502397292297312e-05,6.545287938125212e-06,,7
525,2.7502397292297312e-05,2.3999389106459108e-05,,7
525,2.7502397292297312e-05,2.8362914398542585e-05,,7
525,2.9335890445117133e-05,8.727050584166948e-06,,7
525,2.9335890445117133e-05,1.9635863814375638e-05,,7
525,3.116938359793696e-05,6.545287938125212e-06,,7
525,3.116938359793696e-05,1.527233852229216e-05,,7
525,3.300287675075677e-05,2.8362914398542585e-05,,7
525,3.6669863056396414e-05,1.9635863814375638e-05,,7
525,0.0,4.363525292083474e-05,,6
525,0.0,4.581701556687648e-05,,6
525,1.8334931528198208e-06,2.181762646041737e-05,,6
525,1.8334931528198208e-06,2.8362914398542585e-05,,6
525,7.333972611279283e-06,3.054467704458432e-05,,6
525,9.167465764099103e-06,2.3999389106459108e-05,,6
525,1.2834452069738746e-05,2.6181151752500847e-05,,6
525,1.2834452069738746e-05,2.8362914398542585e-05,,6
525,1.2834452069738746e-05,3.054467704458432e-05,,6
525,1.6501438375378387e-05,3.054467704458432e-05,,6
525,2.383541098665767e-05,3.054467704458432e-05,,6
525,2.383541098665767e-05,3.490820233666779e-05,,6
525,2.566890413947749e-05,3.2726439690626056e-05,,6
525,2.7502397292297312e-05,2.181762646041737e-05,,6
525,2.9335890445117133e-05,1.7454101168333896e-05,,6
525,2.9335890445117133e-05,3.2726439690626056e-05,,6
525,3.116938359793696e-05,2.181762646041737e-06,,6
525,3.116938359793696e-05,8.727050584166948e-06,,6
525,3.116938359793696e-05,1.3090575876250423e-05,,6
525,3.116938359793696e-05,2.181762646041737e-05,,6
525,3.300287675075677e-05,8.727050584166948e-06,,6
525,3.300287675075677e-05,2.181762646041737e-05,,6
525,3.300287675075677e-05,3.054467704458432e-05,,6
525,3.6669863056396414e-05,3.2726439690626056e-05,,6
525,0.0,3.490820233666779e-05,,5
525,0.0,6.545287938125211e-05,,5
525,3.6669863056396416e-06,2.181762646041737e-05,,5
525,1.8334931528198207e-05,2.8362914398542585e-05,,5
525,2.0168424681018027e-05,3.708996498270953e-05,,5
525,2.200191783383785e-05,3.2726439690626056e-05,,5
525,2.383541098665767e-05,0.0,,5
525,2.566890413947749e-05,3.490820233666779e-05,,5
525,2.7502397292297312e-05,2.6181151752500847e-05,,5
525,2.7502397292297312e-05,3.054467704458432e-05,,5
525,2.7502397292297312e-05,3.2726439690626056e-05,,5
525,2.9335890445117133e-05,4.363525292083474e-06,,5
525,2.9335890445117133e-05,2.3999389106459108e-05,,5
525,3.116938359793696e-05,0.0,,5
525,3.116938359793696e-05,2.3999389106459108e-05,,5
525,3.300287675075677e-05,1.3090575876250423e-05,,5
525,3.300287675075677e-05,2.3999389106459108e-05,,5
525,3.48363699035766e-05,1.9635863814375638e-05,,5
525,3.48363699035766e-05,2.8362914398542585e-05,,5
525,3.850335620921624e-05,2.181762646041737e-05,,5
525,3.850335620921624e-05,2.8362914398542585e-05,,5
525,4.0336849362036055e-05,2.181762646041737e-05,,5
525,4.0336849362036055e-05,2.8362914398542585e-05,,5
525,0.0,5.454406615104343e-05,,4
525,0.0,5.89075914431269e-05,,4
525,1.8334931528198208e-06,2.3999389106459108e-05,,4
525,3.6669863056396416e-06,2.6181151752500847e-05,,4
525,5.500479458459463e-06,2.6181151752500847e-05,,4
525,7.333972611279283e-06,2.6181151752500847e-05,,4
525,1.1000958916918926e-05,3.2726439690626056e-05,,4
525,1.4667945222558566e-05,3.2726439690626056e-05,,4
525,1.6501438375378387e-05,2.6181151752500847e-05,,4
525,1.8334931528198207e-05,3.054467704458432e-05,,4
525,1.8334931528198207e-05,3.2726439690626056e-05,,4
525,2.383541098665767e-05,2.8362914398542585e-05,,4
525,2.7502397292297312e-05,0.0,,4
525,2.7502397292297312e-05,2.181762646041737e-06,,4
525,2.7502397292297312e-05,4.363525292083474e-05,,4
525,2.9335890445117133e-05,2.8362914398542585e-05,,4
525,2.9335890445117133e-05,3.054467704458432e-05,,4
525,3.116938359793696e-05,2.6181151752500847e-05,,4
525,3.116938359793696e-05,3.2726439690626056e-05,,4
525,3.116938359793696e-05,4.363525292083474e-05,,4
525,3.300287675075677e-05,3.2726439690626056e-05,,4
525,3.300287675075677e-05,3.708996498270953e-05,,4
525,3.300287675075677e-05,4.363525292083474e-05,,4
525,3.48363699035766e-05,4.363525292083474e-06,,4
525,3.48363699035766e-05,1.0908813230208685e-05,,4
525,3.48363699035766e-05,1.3090575876250423e-05,,4
525,3.48363699035766e-05,1.7454101168333896e-05,,4
525,3.48363699035766e-05,2.3999389106459108e-05,,4
525,3.48363699035766e-05,3.708996498270953e-05,,4
525,3.6669863056396414e-05,1.527233852229216e-05,,4
525,3.6669863056396414e-05,1.7454101168333896e-05,,4
525,3.6669863056396414e-05,3.490820233666779e-05,,4
525,3.850335620921624e-05,1.0908813230208685e-05,,4
525,3.850335620921624e-05,1.7454101168333896e-05,,4
525,3.850335620921624e-05,2.3999389106459108e-05,,4
525,3.850335620921624e-05,3.054467704458432e-05,,4
525,3.850335620921624e-05,4.363525292083474e-05,,4
525,3.850335620921624e-05,7.63616926114608e-05,,4
525,4.0336849362036055e-05,2.6181151752500847e-05,,4
525,4.0336849362036055e-05,3.490820233666779e-05,,4
525,4.583732882049552e-05,2.8362914398542585e-05,,4
525,4.583732882049552e-05,3.927172762875127e-05,,4
525,4.767082197331534e-05,2.6181151752500847e-05,,4
525,4.767082197331534e-05,3.708996498270953e-05,,4
525,4.950431512613516e-05,3.490820233666779e-05,,4
525,6.600575350151355e-05,6.327111673521038e-05,,4
525,0.0001100095891691,6.981640467333558e-05,,4
525,0.0,4.7998778212918216e-05,,3
525,0.0,5.018054085895995e-05,,3
525,0.0,5.2362303505001694e-05,,3
525,0.0,6.108935408916864e-05,,3
525,0.0,0.0001199969455322,,3
525,0.0,0.0001221787081783,,3
525,1.8334931528198208e-06,2.6181151752500847e-05,,3
525,1.8334931528198208e-06,3.054467704458432e-05,,3
525,1.8334931528198208e-06,4.581701556687648e-05,,3
525,3.6669863056396416e-06,2.8362914398542585e-05,,3
525,3.6669863056396416e-06,3.2726439690626056e-05,,3
525,5.500479458459463e-06,2.8362914398542585e-05,,3
525,7.333972611279283e-06,2.8362914398542585e-05,,3
525,9.167465764099103e-06,2.6181151752500847e-05,,3
525,9.167465764099103e-06,2.8362914398542585e-05,,3
525,9.167465764099103e-06,3.054467704458432e-05,,3
525,9.167465764099103e-06,3.490820233666779e-05,,3
525,9.167465764099103e-06,3.927172762875127e-05,,3
525,1.2834452069738746e-05,3.2726439690626056e-05,,3
525,1.2834452069738746e-05,3.927172762875127e-05,,3
525,1.4667945222558566e-05,3.054467704458432e-05,,3
525,1.4667945222558566e-05,3.708996498270953e-05,,3
525,1.8334931528198207e-05,3.708996498270953e-05,,3
525,2.0168424681018027e-05,2.3999389106459108e-05,,3
525,2.0168424681018027e-05,3.490820233666779e-05,,3
525,2.0168424681018027e-05,4.145349027479301e-05,,3
525,2.200191783383785e-05,3.054467704458432e-05,,3
525,2.200191783383785e-05,3.490820233666779e-05,,3
525,2.200191783383785e-05,4.145349027479301e-05,,3
525,2.383541098665767e-05,3.2726439690626056e-05,,3
525,2.566890413947749e-05,3.054467704458432e-05,,3
525,2.566890413947749e-05,4.145349027479301e-05,,3
525,2.7502397292297312e-05,3.708996498270953e-05,,3
525,2.7502397292297312e-05,3.927172762875127e-05,,3
525,2.7502397292297312e-05,4.7998778212918216e-05,,3
525,2.9335890445117133e-05,3.708996498270953e-05,,3
525,2.9335890445117133e-05,3.927172762875127e-05,,3
525,2.9335890445117133e-05,5.018054085895995e-05,,3
525,3.116938359793696e-05,1.9635863814375638e-05,,3
525,3.116938359793696e-05,3.490820233666779e-05,,3
525,3.300287675075677e-05,0.0,,3
525,3.300287675075677e-05,6.545287938125212e-06,,3
525,3.300287675075677e-05,1.9635863814375638e-05,,3
525,3.48363699035766e-05,6.545287938125212e-06,,3
525,3.48363699035766e-05,1.527233852229216e-05,,3
525,3.48363699035766e-05,2.181762646041737e-05,,3
525,3.48363699035766e-05,2.6181151752500847e-05,,3
525,3.48363699035766e-05,3.490820233666779e-05,,3
525,3.48363699035766e-05,4.363525292083474e-05,,3
525,3.6669863056396414e-05,8.727050584166948e-06,,3
525,3.6669863056396414e-05,1.0908813230208685e-05,,3
525,3.6669863056396414e-05,2.3999389106459108e-05,,3
525,3.6669863056396414e-05,2.8362914398542585e-05,,3
525,3.850335620921624e-05,1.527233852229216e-05,,3
525,3.850335620921624e-05,1.9635863814375638e-05,,3
525,4.0336849362036055e-05,6.545287938125212e-06,,3
525,4.0336849362036055e-05,3.2726439690626056e-05,,3
525,4.0336849362036055e-05,3.708996498270953e-05,,3
525,4.0336849362036055e-05,4.145349027479301e-05,,3
525,4.0336849362036055e-05,4.581701556687648e-05,,3
525,4.0336849362036055e-05,4.7998778212918216e-05,,3
525,4.217034251485588e-05,1.0908813230208685e-05,,3
525,4.217034251485588e-05,1.527233852229216e-05,,3
525,4.217034251485588e-05,2.181762646041737e-05,,3
525,4.217034251485588e-05,2.6181151752500847e-05,,3
525,4.217034251485588e-05,5.018054085895995e-05,,3
525,4.217034251485588e-05,5.2362303505001694e-05,,3
525,4.40038356676757e-05,2.181762646041737e-05,,3
525,4.40038356676757e-05,3.708996498270953e-05,,3
525,4.40038356676757e-05,3.927172762875127e-05,,3
525,4.40038356676757e-05,5.2362303505001694e-05,,3
525,4.583732882049552e-05,2.6181151752500847e-05,,3
525,4.583732882049552e-05,3.054467704458432e-05,,3
525,4.767082197331534e-05,1.527233852229216e-05,,3
525,4.767082197331534e-05,2.8362914398542585e-05,,3
525,4.767082197331534e-05,3.2726439690626056e-05,,3
525,4.767082197331534e-05,5.2362303505001694e-05,,3
525,4.950431512613516e-05,4.145349027479301e-05,,3
525,5.133780827895498e-05,3.054467704458432e-05,,3
525,5.133780827895498e-05,3.2726439690626056e-05,,3
525,5.31713014317748e-05,4.145349027479301e-05,,3
525,5.5004794584594624e-05,5.89075914431269e-05,,3
525,5.683828773741444e-05,3.708996498270953e-05,,3
525,6.050527404305409e-05,2.3999389106459108e-05,,3
525,6.233876719587391e-05,4.7998778212918216e-05,,3
525,6.96727398071532e-05,3.054467704458432e-05,,3
525,6.96727398071532e-05,5.018054085895995e-05,,3
525,7.700671241843248e-05,5.454406615104343e-05,,3
525,0.0,6.327111673521038e-05,,2
525,0.0,6.763464202729385e-05,,2
525,0.0,7.63616926114608e-05,,2
525,0.0,8.945226848771123e-05,,2
525,0.0,9.599755642583645e-05,,2
525,0.0,0.0001265422334704,,2
525,0.0,0.0001418145719927,,2
525,1.8334931528198208e-06,3.2726439690626056e-05,,2
525,1.8334931528198208e-06,5.454406615104343e-05,,2
525,3.6669863056396416e-06,2.3999389106459108e-05,,2
525,3.6669863056396416e-06,3.490820233666779e-05,,2
525,5.500479458459463e-06,3.054467704458432e-05,,2
525,5.500479458459463e-06,3.708996498270953e-05,,2
525,5.500479458459463e-06,3.927172762875127e-05,,2
525,1.1000958916918926e-05,2.8362914398542585e-05,,2
525,1.1000958916918926e-05,3.490820233666779e-05,,2
525,1.1000958916918926e-05,3.927172762875127e-05,,2
525,1.1000958916918926e-05,6.108935408916864e-05,,2
525,1.2834452069738746e-05,3.490820233666779e-05,,2
525,1.2834452069738746e-05,3.708996498270953e-05,,2
525,1.6501438375378387e-05,3.927172762875127e-05,,2
525,1.6501438375378387e-05,4.363525292083474e-05,,2
525,1.8334931528198207e-05,3.927172762875127e-05,,2
525,2.0168424681018027e-05,3.054467704458432e-05,,2
525,2.200191783383785e-05,5.2362303505001694e-05,,2
525,2.383541098665767e-05,3.708996498270953e-05,,2
525,2.383541098665767e-05,4.581701556687648e-05,,2
525,2.383541098665767e-05,6.763464202729385e-05,,2
525,2.566890413947749e-05,2.181762646041737e-06,,2
525,2.9335890445117133e-05,0.0,,2
525,2.9335890445117133e-05,3.490820233666779e-05,,2
525,2.9335890445117133e-05,4.145349027479301e-05,,2
525,3.116938359793696e-05,4.363525292083474e-06,,2
525,3.116938359793696e-05,3.927172762875127e-05,,2
525,3.116938359793696e-05,4.145349027479301e-05,,2
525,3.116938359793696e-05,4.7998778212918216e-05,,2
525,3.300287675075677e-05,2.181762646041737e-06,,2
525,3.300287675075677e-05,1.0908813230208685e-05,,2
525,3.300287675075677e-05,1.527233852229216e-05,,2
525,3.300287675075677e-05,1.7454101168333896e-05,,2
525,3.300287675075677e-05,3.490820233666779e-05,,2
525,3.300287675075677e-05,3.927172762875127e-05,,2
525,3.300287675075677e-05,5.018054085895995e-05,,2
525,3.300287675075677e-05,5.454406615104343e-05,,2
525,3.48363699035766e-05,3.2726439690626056e-05,,2
525,3.48363699035766e-05,4.145349027479301e-05,,2
525,3.48363699035766e-05,4.7998778212918216e-05,,2
525,3.48363699035766e-05,5.2362303505001694e-05,,2
525,3.6669863056396414e-05,0.0,,2
525,3.6669863056396414e-05,1.3090575876250423e-05,,2
525,3.6669863056396414e-05,2.181762646041737e-05,,2
525,3.6669863056396414e-05,2.6181151752500847e-05,,2
525,3.6669863056396414e-05,3.054467704458432e-05,,2
525,3.6669863056396414e-05,3.708996498270953e-05,,2
525,3.6669863056396414e-05,4.145349027479301e-05,,2
525,3.6669863056396414e-05,4.363525292083474e-05,,2
525,3.6669863056396414e-05,4.581701556687648e-05,,2
525,3.850335620921624e-05,4.363525292083474e-06,,2
525,3.850335620921624e-05,6.545287938125212e-06,,2
525,3.850335620921624e-05,3.2726439690626056e-05,,2
525,3.850335620921624e-05,3.927172762875127e-05,,2
525,3.850335620921624e-05,4.145349027479301e-05,,2
525,3.850335620921624e-05,4.581701556687648e-05,,2
525,3.850335620921624e-05,5.2362303505001694e-05,,2
525,4.0336849362036055e-05,1.7454101168333896e-05,,2
525,4.0336849362036055e-05,2.3999389106459108e-05,,2
525,4.217034251485588e-05,1.3090575876250423e-05,,2
525,4.217034251485588e-05,1.9635863814375638e-05,,2
525,4.217034251485588e-05,2.3999389106459108e-05,,2
525,4.217034251485588e-05,3.2726439690626056e-05,,2
525,4.217034251485588e-05,3.490820233666779e-05,,2
525,4.217034251485588e-05,4.581701556687648e-05,,2
525,4.40038356676757e-05,8.727050584166948e-06,,2
525,4.40038356676757e-05,1.3090575876250423e-05,,2
525,4.40038356676757e-05,2.8362914398542585e-05,,2
525,4.40038356676757e-05,3.054467704458432e-05,,2
525,4.40038356676757e-05,3.2726439690626056e-05,,2
525,4.40038356676757e-05,3.490820233666779e-05,,2
525,4.40038356676757e-05,4.145349027479301e-05,,2
525,4.40038356676757e-05,4.7998778212918216e-05,,2
525,4.40038356676757e-05,5.454406615104343e-05,,2
525,4.583732882049552e-05,4.363525292083474e-05,,2
525,4.767082197331534e-05,2.181762646041737e-06,,2
525,4.767082197331534e-05,8.727050584166948e-06,,2
525,4.767082197331534e-05,2.181762646041737e-05,,2
525,4.767082197331534e-05,4.145349027479301e-05,,2
525,4.767082197331534e-05,6.108935408916864e-05,,2
525,4.950431512613516e-05,2.181762646041737e-05,,2
525,4.950431512613516e-05,2.6181151752500847e-05,,2
525,5.133780827895498e-05,2.181762646041737e-05,,2
525,5.133780827895498e-05,2.3999389106459108e-05,,2
525,5.133780827895498e-05,2.6181151752500847e-05,,2
525,5.133780827895498e-05,2.8362914398542585e-05,,2
525,5.133780827895498e-05,3.708996498270953e-05,,2
525,5.133780827895498e-05,4.145349027479301e-05,,2
525,5.31713014317748e-05,1.9635863814375638e-05,,2
525,5.31713014317748e-05,2.3999389106459108e-05,,2
525,5.31713014317748e-05,6.108935408916864e-05,,2
525,5.5004794584594624e-05,2.181762646041737e-05,,2
525,5.5004794584594624e-05,4.581701556687648e-05,,2
525,5.683828773741444e-05,1.527233852229216e-05,,2
525,5.683828773741444e-05,2.3999389106459108e-05,,2
525,5.683828773741444e-05,2.6181151752500847e-05,,2
525,5.683828773741444e-05,5.672582879708517e-05,,2
525,5.8671780890234265e-05,0.0,,2
525,5.8671780890234265e-05,1.9635863814375638e-05,,2
525,5.8671780890234265e-05,2.3999389106459108e-05,,2
525,5.8671780890234265e-05,4.363525292083474e-05,,2
525,5.8671780890234265e-05,4.581701556687648e-05,,2
525,5.8671780890234265e-05,8.508874319562774e-05,,2
525,6.050527404305409e-05,2.8362914398542585e-05,,2
525,6.050527404305409e-05,3.927172762875127e-05,,2
525,6.050527404305409e-05,5.2362303505001694e-05,,2
525,6.050527404305409e-05,5.454406615104343e-05,,2
